Date,Open,High,Low,Close,Adj Close,Volume,Split
2013-01-02,3.090000,3.240000,3.090000,3.200000,2.922022,3500,Training
2013-01-03,3.190000,3.320000,3.090000,3.200000,2.922022,5500,Training
2013-01-04,3.150000,3.250000,3.150000,3.200000,2.922022,3000,Training
2013-01-07,3.200000,3.230000,3.050000,3.230000,2.949415,4700,Training
2013-01-08,3.200000,3.220000,3.170000,3.200000,2.922022,3800,Training
2013-01-09,3.200000,3.250000,3.010000,3.210000,2.931153,5100,Training
2013-01-10,3.200000,3.250000,3.200000,3.220000,2.940284,4000,Training
2013-01-11,3.210000,3.250000,3.170000,3.250000,2.967678,2000,Training
2013-01-14,3.240000,3.240000,3.240000,3.240000,2.958547,800,Training
2013-01-15,3.250000,3.300000,3.230000,3.250000,2.967678,3800,Training
2013-01-16,3.280000,3.300000,3.240000,3.280000,2.995072,7400,Training
2013-01-17,3.280000,3.290000,3.250000,3.290000,3.004203,1800,Training
2013-01-18,3.300000,3.300000,3.280000,3.280000,2.995072,2200,Training
2013-01-22,3.290000,3.300000,3.290000,3.300000,3.013335,2900,Training
2013-01-23,3.300000,3.320000,3.290000,3.300000,3.013335,6200,Training
2013-01-24,3.280000,3.400000,2.520000,3.400000,3.104648,34600,Training
2013-01-25,3.340000,3.400000,3.250000,3.300000,3.013335,5400,Training
2013-01-28,3.220000,3.390000,3.220000,3.330000,3.040728,6200,Training
2013-01-29,3.340000,3.380000,3.320000,3.330000,3.040728,4400,Training
2013-01-30,3.350000,3.350000,3.290000,3.320000,3.031597,4500,Training
2013-01-31,3.320000,3.350000,3.310000,3.350000,3.058991,1500,Training
2013-02-01,3.350000,3.370000,3.310000,3.350000,3.058991,6100,Training
2013-02-04,3.350000,3.370000,3.330000,3.350000,3.058991,5600,Training
2013-02-05,3.330000,3.350000,3.330000,3.350000,3.058991,900,Training
2013-02-06,3.350000,3.450000,3.350000,3.400000,3.104648,5600,Training
2013-02-07,3.400000,3.420000,3.400000,3.410000,3.113779,3600,Training
2013-02-08,3.400000,3.420000,3.270000,3.420000,3.122910,2700,Training
2013-02-11,3.360000,3.410000,3.360000,3.390000,3.095516,1500,Training
2013-02-12,3.380000,3.420000,3.380000,3.420000,3.122910,3000,Training
2013-02-13,3.400000,3.400000,3.040000,3.350000,3.058991,5500,Training
2013-02-14,3.220000,3.350000,3.190000,3.290000,3.004203,1400,Training
2013-02-15,3.250000,3.270000,3.180000,3.250000,2.967678,1300,Training
2013-02-19,3.110000,3.300000,3.110000,3.210000,2.931153,28700,Training
2013-02-20,3.190000,3.240000,3.110000,3.230000,2.949415,2200,Training
2013-02-21,3.420000,3.420000,3.030000,3.200000,2.922022,5000,Training
2013-02-22,3.230000,3.250000,3.230000,3.250000,2.967678,400,Training
2013-02-25,3.250000,3.250000,3.220000,3.230000,2.949415,23100,Training
2013-02-26,3.220000,3.330000,3.020000,3.230000,2.949415,8000,Training
2013-02-27,3.300000,3.330000,3.130000,3.330000,3.040728,3800,Training
2013-02-28,3.380000,3.380000,3.330000,3.380000,3.086385,1300,Training
